Acadiaville,25,$435
Amherst,25,$295
Annapolis Royal,22,$355
Antigonish,22,$325
Arichat,22,$535
Aylesford,16,$235
Baddeck,16,$535
Barrington,16,$445
Bass River,16,$195
Berwick,16,$225
Bible hill,16,$125
Blandford,16,$165
Bridgetown,20,$315
Bridgewater,20,$215
Canso,20,$495
Canso Causeway,20,$435
Cape North,20,$715
Caribou (PEI Ferry),20,$245
Chester (East),20,$145
Chester,20,$145
Chester (Basin),20,$155
Cheticamp,20,$605
Church Point,20,$465
Clarks Harbour,20,$460
Coldbrook,14,$200
Cornwallis,23,$380
Country Harbour,23,$415
Debert,23,$145
Deep Brook,24,$380
Digby,26,$395
Ecumsecum,26,$305
Falmouth,7,$130
Fox Harbour,,$250
Glacebay,,$640
Glenholme,,$150
Goldboro,,$415
Grand Pre,10,$160
Greenwood,17,$255
GuysBorough,17,$440
Hantsport,8,$150
Ingonish,8,$675
Inverness,8,$525
Kentville,13,$200
Kejimkujic,13,$330
Kingston,17,$265
La Have	,,$235
Lake Charlotte,,$145
Liverpool,,$270
Lockport,,$370
Louisbourg,,$665
Lunenburg,,$195
Mahone Bay,,$175
Margaree (Forks),,$545
Meteghan,31,$485
Middleton,18,$255
Monastery,18,$360
Mulgrave,,$405
New Germany,,$240
New Glasgow,,$225
New Minas,12,$185
New Ross,,$190
New Waterford,,$635
North Sydney,,$615
Oak Island,,$160
South Ohio (Yarmouth),34,$535
Oxford,,$235
Parrsboro,,$265
Port Dufferin,,$260
Pictou,,$235
Port Hastings,,$395
Port Hawkesbury,,$405
Port Hood,,$465
Port Maitland,33,$520
Pubnico,,$475
Pubwash,,$275
Riverport,,$215
Sheet Harbour,,$240
Shelburne,,$380
Sherbrooke,,$325
Ship Harbour,,$240
Springhill,,$260
Spry Bay,,$210
St. Peters,,$475
Stellarton,,$220
Sydney,,$620
Sydney Mines,,$615
Tangier,,$190
Tatamagouche,,$200
Tidnish,,$335
Trenton,,$225
Tupperville,21,$325
Waterville,15,$210
Wallace,,$235
Wentworth,,$195
Westville,,$215
Weymouth,27,$440
White Point,,$295
Whycocmagh,,$470
Wolfville,11,$165
Yarmouth,11,$560
